Sample File Name	Size	Height	Area	
MAR_30_F04_2015-10-07.fsa		173	1278	
MAR_30_F04_2015-10-07.fsa		182	899	
MAR_30_F04_2015-10-07.fsa		4822	34671	
MAR_30_F04_2015-10-07.fsa		1651	16696	
MAR_30_F04_2015-10-07.fsa		1005	6913	
MAR_30_F04_2015-10-07.fsa		72	264	
MAR_30_F04_2015-10-07.fsa	1.36	3676	26194	
MAR_30_F04_2015-10-07.fsa	3.64	1874	29267	
MAR_30_F04_2015-10-07.fsa	7.2	1338	11284	
MAR_30_F04_2015-10-07.fsa	8.39	1339	21061	
MAR_30_F04_2015-10-07.fsa	9.49	1338	13412	
MAR_30_F04_2015-10-07.fsa	12.46	1492	11086	
MAR_30_F04_2015-10-07.fsa	13.39	1518	12982	
MAR_30_F04_2015-10-07.fsa	15.08	1580	20828	
